"Var2","C","K_s","A","Y","L_s","I","Case"
"1",0.00570850160086202,0.0022507524360057,0.01,0.013053719933317,0.00469803074988149,0.0375125406000952,"base case"
"2",0.00664593052135382,0.00413382748784243,0.0095,0.0128791979550973,0.00398682254750449,0.0336353366332848,"base case"
"3",0.00739786827287108,0.00569653104088542,0.009025,0.012659198578288,0.0033651677077136,0.0301788867052257,"base case"
"4",0.00798930300484092,0.0069805251575971,0.00857375,0.0124021400480285,0.00282246805403676,0.0270964329860803,"base case"
"5",0.0084421922051798,0.00802248191461918,0.0081450625,0.0121153231859346,0.00234934912460314,0.0243464711079653,"base case"
"6",0.00877581615194744,0.00885466241913929,0.007737809375,0.0118050662160786,0.00193752033829596,0.0218921569899545,"base case"
"7",0.00900709080342453,0.00950542952119381,0.00735091890625,0.0114768238995494,0.00157965106795483,0.0197007807867148,"base case"
"8",0.00915084474933294,0.00999970177138207,0.0069833729609375,0.0111352927767249,0.00126926081465223,0.017743300357665,"base case"
"9",0.00922006432065939,0.0103593553160068,0.00663420431289063,0.0107845041114279,0.00100062188192908,0.0159939275151281,"base case"
"10",0.00922611048988934,0.0106035796614784,0.0063024940972461,0.0104279059494549,0.000768673130505679,0.0144297610738671,"base case"
"11",0.00917891078064798,0.0107491925658943,0.00598736939238379,0.0100684355429313,0.000568943555019052,0.0130304614017424,"base case"
"12",0.00908712903978631,0.0108109187182485,0.0056880009227646,0.00970858324920993,0.000397484567112551,0.0117779617717986,"base case"
"13",0.00895831560052856,0.0108016363360693,0.00540360087662637,0.00935044888651843,0.00025080999578688,0.0106562123485958,"base case"
"14",0.00879904007770164,0.0107325953427307,0.00513342083279505,0.00899579141643103,0.000125842928150916,0.0096509531137583,"base case"
"15",0.00861500878112074,0.010613610369428,0.0048767497911553,0.00864607272386201,1.98686132120381e-05,0.00874951245435371,"base case"
"16",0.00841116850720429,0.0104532314577973,0.00463291230159754,0.00830249617720042,-6.95072604371735e-05,0.00794062850891599,"base case"
"17",0.00819179826855252,0.0102588950120329,0.00440126668651766,0.00796604057315007,-0.000144395523966833,0.0072142906950565,"base case"
"18",0.00796059034363624,0.0100370572593771,0.00418120335219178,0.00763749000166382,-0.000206656266281623,0.00656159913443661,"base case"
"19",0.00772072187132418,0.00979331222079256,0.00397214318458219,0.00731746010506026,-0.000257927830729203,0.00597463994963531,"base case"
"20",0.00747491807544145,0.00953249596575779,0.00377353602535308,0.00700642115108969,-0.000299652496153973,0.00544637463687983,"base case"
"21",0.00722550808086737,0.0092587787231349,0.00358485922408543,0.00670471829158114,-0.000333099219583578,0.00497054192204309,"base case"
"22",0.00697447417305184,0.00897574624100843,0.00340561626288115,0.0064125893356519,-0.000359383774995575,0.00454157068769381,"base case"
"23",0.0067234952556582,0.00868647162968357,0.0032353354497371,0.00613018032867082,-0.000379486584631432,0.00415450271892755,"base case"
"24",0.00647398517491582,0.00839357878135409,0.00307356867725024,0.00585755919468582,-0.000394268505653617,0.00380492415752561,"base case"
"25",0.0062271265029312,0.0080992983352571,0.00291989024338773,0.00559472767036361,-0.000404484805090199,0.00348890467973772,"base case"
"26",0.00598390030455346,0.00780551704661083,0.00277389573121834,0.0053416317322124,-0.000410797529547021,0.00320294352448595,"base case"
"27",0.00574511235243115,0.00751382131967344,0.00263520094465743,0.00509817069558105,-0.000413786452706015,0.00294392159765449,"base case"
"28",0.0055114162017602,0.00722553557844083,0.00250344089742456,0.00486420514330992,-0.000413958762828994,0.00270905896579659,"base case"
"29",0.00528333348913242,0.00694175607155378,0.00237826885255333,0.00463956382364637,-0.00041175763404747,0.00249587713032351,"base case"
"30",0.00506127177816379,0.00666338063979065,0.00225935540992566,0.00442404964086501,-0.000407569808872869,0.00230216554216827,"base case"
"31",0.0048455402376033,0.00639113491408536,0.00214638763942938,0.00421744484770936,-0.000401732304870749,0.00212595187803591,"base case"
"32",0.004636363404856,0.00612559535845308,0.00203906825745791,0.00401951553608957,-0.000394538345596691,0.0019654756535474,"base case"
"33",0.00443389325882078,0.00586720952474436,0.00193711484458502,0.0038300155112411,-0.000386242604503961,0.0018191647966412,"base case"
"34",0.00423821980021922,0.00561631384409226,0.00184025910235576,0.003648689624608,-0.000377065840438378,0.00168561484720929,"base case"
"35",0.00404938031480043,0.00537314924265063,0.00174824614723798,0.0034752766319139,-0.000367198994387378,0.00156357048673179,"base case"
"36",0.0038673674746164,0.00513787483620244,0.00166083383987608,0.00330951163509457,-0.000356806809218048,0.00145190913518098,"base case"
"37",0.0036921364146748,0.00491057992896101,0.00157779214788227,0.00315112815987216,-0.000346031027107611,0.00134962638217869,"base case"
"38",0.00352361090643216,0.00469129451596766,0.00149890254048816,0.00299985991465127,-0.000334993213137251,0.00125582304573845,"base case"
"39",0.00336168873555572,0.00447999846552692,0.00142395741346375,0.0028554422710198,-0.000323797247995683,0.00116969367528869,"base case"
"40",0.00320624637895212,0.00427662953777883,0.00135275954279056,0.00271761350136348,-0.000312531527842085,0.00109051633639221,"base case"
"1",0.00649631146313046,0.00279013869735561,0.01,0.0130959407405247,0.00412792098755289,0.0465023116225934,"alt case"
"2",0.00737000864899816,0.00500205524947568,0.0095,0.0126960024817546,0.00333129041006863,0.0396554145660233,"alt case"
"3",0.00801156949188742,0.00673364336867686,0.009025,0.0122759877078091,0.00266729852742852,0.033861857236162,"alt case"
"4",0.0084622325015893,0.00806705541008877,0.00857375,0.0118432013012586,0.00211472061228806,0.0289571773922086,"alt case"
"5",0.00875651504088227,0.00907119494605485,0.0081450625,0.0114035921363705,0.00165568771196028,0.0248027143428568,"alt case"
"6",0.00892328198852442,0.00980381654175351,0.007737809375,0.0109619766650812,0.00127515807157953,0.0212815548743659,"alt case"
"7",0.0089866457758126,0.0103132945384429,0.00735091890625,0.0105222268282961,0.000960471715626894,0.0182951164865763,"alt case"
"8",0.00896672434076593,0.0106401129302513,0.0069833729609375,0.010087427927847,0.000700975109875556,0.0157602677352491,"alt case"
"9",0.00888027936878224,0.0108181202284899,0.00663420431289062,0.00966001120705725,0.000487704882276115,0.0136069012342284,"alt case"
"10",0.00874125366998118,0.010875586303706,0.00630249409724609,0.00924186514007308,0.00031312131440443,0.0117758881487582,"alt case"
"11",0.0085612235781459,0.0108360923775654,0.00598736939238378,0.00883442879997767,0.00017088377568245,0.0102173542013625,"alt case"
"12",0.00834977975719732,0.0107192804334485,0.0056880009227646,0.0084387701446949,5.56615035055734e-05,0.00888922664228449,"alt case"
"13",0.00811484769515485,0.0105414841824962,0.00540360087662636,0.00805565161223782,-3.7025830219401e-05,0.00775600958424331,"alt case"
"14",0.00786295739075647,0.0103162602395075,0.00513342083279505,0.00768558503980968,-0.00011094245136967,0.00678775179935062,"alt case"
"15",0.00759947024225083,0.0100548352283933,0.00487674979115529,0.00732887760355605,-0.000169249663197013,0.0059591767209387,"alt case"
"16",0.00732876988744184,0.00976648206371259,0.00463291230159753,0.00698567020806053,-0.00021460120074754,0.00524894915038086,"alt case"
"17",0.00705442268187357,0.00945883657058747,0.00440126668651765,0.00665596952910912,-0.000249223564354036,0.00463905717829396,"alt case"
"18",0.00677931260691667,0.00913816384885744,0.00418120335219177,0.00633967472319186,-0.000274983695438662,0.00411429120842021,"alt case"
"19",0.00650575464518502,0.00880958230713267,0.00397214318458218,0.00603659965707861,-0.000293445986204522,0.00366180482011133,"alt case"
"20",0.00623559002503279,0.008477252045018,0.00377353602535307,0.0057464913758916,-0.000305920301577605,0.00327074460522153,"alt case"
"21",0.00597026620019867,0.00814453321058229,0.00358485922408542,0.00546904541443406,-0.000313502427796518,0.00293193813775618,"alt case"
"22",0.0057109039792495,0.00781411907429662,0.00340561626288115,0.00520391846077744,-0.000317108139591524,0.00263763093915449,"alt case"
"23",0.00545835383907957,0.00748814781415528,0.00323533544973709,0.00495073880044336,-0.000317501890419937,0.00238126473860767,"alt case"
"24",0.00521324313617345,0.00716829637761422,0.00307356867725023,0.0047091149015652,-0.000315320972231353,0.00215729053847092,"alt case"
"25",0.00497601565922908,0.00685585925586527,0.00291989024338772,0.00447864244417751,-0.000311095858087849,0.00196101101513169,"alt case"
"26",0.00474696473913114,0.00655181455924805,0.00277389573121834,0.00425891004857332,-0.000305267328754408,0.00178844764557838,"alt case"
"27",0.00452626094047655,0.006256879406169,0.00263520094465742,0.00404950391706787,-0.000298200889811025,0.00163622867459713,"alt case"
"28",0.00431397519725237,0.0059715563206949,0.00250344089742455,0.00385001156931659,-0.000290198906145404,0.00150149464826737,"alt case"
"29",0.00411009811910216,0.0056961720667019,0.00237826885255332,0.0036600248225438,-0.000281510813525484,0.00138181875414485,"alt case"
"30",0.00391455607988933,0.00543091012123852,0.00225935540992565,0.00347914214379882,-0.000272341710353479,0.00127513964231235,"alt case"
"31",0.0037272246036035,0.00517583779998825,0.00214638763942937,0.00330697048094859,-0.00026285958500675,0.0011797047670673,"alt case"
"32",0.00354793948121583,0.00493092888781654,0.0020390682574579,0.00314312666193932,-0.000253201393976057,0.00109402259712647,"alt case"
"33",0.00337650598347811,0.00469608249266138,0.00193711484458501,0.00298723843740308,-0.000243478172138837,0.0010168223018972,"alt case"
"34",0.00321270647685833,0.00447113872751429,0.00184025910235576,0.00283894522952072,-0.000233779327960048,0.00094701974020984,"alt case"
"35",0.00305630670111333,0.00425589172960415,0.00174824614723797,0.00269789863981922,-0.00022417625235797,0.000883688762345445,"alt case"
"36",0.0029070609259821,0.00405010044532606,0.00166083383987607,0.00256376275997385,-0.000214725349701134,0.000826036991635947,"alt case"
"37",0.00276471616993484,0.00385349754158173,0.00157779214788227,0.00243621432244764,-0.00020547058232013,0.00077338538292051,"alt case"
"38",0.00262901563481377,0.00366579674702001,0.00149890254048815,0.00231494272171657,-0.000196445605523026,0.000725150965553076,"alt case"
"39",0.00249970148569538,0.00348669887850147,0.00142395741346375,0.00219964993171558,-0.000187675557972863,0.000680832271710989,"alt case"
"40",0.00237651708466599,0.00331589676754226,0.00135275954279056,0.00209005034084562,-0.000179178562063949,0.0006399970291814,"alt case"
